Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Suburban Nissan - Troy,1800 Maplelawn Dr,,Troy,MI,48084,,248-649-2300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,42.553452,-83.175063,2024-02-12,44299,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Suburban Nissan - Troy,1800 Maplelawn Dr,,Troy,MI,48084,,248-649-2300,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,42.553452,-83.175063,2024-02-12,44300,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Cranbrook Institute of Science - Parking Deck,39221 Woodward Ave,"Northeast corner of top level of parking deck, off Institute Way",Bloomfield Hills,MI,48303,,248-645-3200,E,,Public,7:30am-6pm M-F,,,,,,1.0,,,Non-Networked,,GPS,42.57181646,-83.25019,2023-01-10,49172,2026-06-25 00:08:10 UTC,P,,,2019-06-18,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,McNaughton McKay Electric Co,1357 E Lincoln Ave,East side of building near customer Will Call entrance,Madison Heights,MI,48071,,,E,,Private,For employee use only,,,,,,2.0,,,Non-Networked,,GPS,42.484615,-83.09264,2026-07-15,49174,2026-07-15 18:47:09 UTC,T,,,2011-10-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,MD,True,
ELEC,Lawrence Technological University,21000 W 10 Mile Rd,"Along southern edge of parking lot C east of North Housing, between the two parking spaces immediately east of the handicap parking spaces that face the Buell Management Building",Southfield,MI,48075,,800-225-5588,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,42.476386,-83.24981,2025-06-06,49175,2026-02-02 23:16:24 UTC,P,,,2012-08-30,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Tony Serra Highland Nissan,2530 E Highland Rd,,Highland,MI,48356,,248-887-8900,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,42.653294,-83.57998,2024-02-12,49836,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Elhart Nissan,870 Chicago Dr,,Holland,MI,49423,,616-396-0441,E,,Private,,,,,,,1.0,,,Non-Networked,,GPS,42.799261,-86.070841,2026-01-13,49837,2026-02-02 23:16:24 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False,
ELEC,Gerweck Nissan,15407 S Monroe St,,Monroe,MI,48161,,734-457-0100,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-8,41.90001,-83.41238,2024-02-12,49840,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Gerweck Nissan,15407 S Monroe St,,Monroe,MI,48161,,734-457-0100,E,,Private,,,,,,,1.0,,,Non-Networked,,200-8,41.90001,-83.41238,2024-02-12,49841,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False,
ELEC,Nissan - Muskegon,1860 E Sternberg Rd,,Muskegon,MI,49444,,231-799-2866,E,,Public,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,43.15417,-86.19898,2026-01-13,49842,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Nissan - Muskegon,1860 E Sternberg Rd,,Muskegon,MI,49444,,231-799-2866,E,,Private,,,,,,,1.0,,,Non-Networked,,GPS,43.15417,-86.19898,2026-01-13,49843,2026-02-02 23:16:24 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Graff Nissan,1728 Grand River Ave,,Okemos,MI,48864,,517-827-0273,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,42.718888,-84.411549,2024-02-12,49844,2025-02-12 00:16:32 UTC,P,,,2019-11-23,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Jeffrey Automotive Group,30800 Gratiot Ave,,Roseville,MI,48066,,586-296-1300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,42.523619,-82.917703,2024-02-12,49846,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Jeffrey Automotive Group,30800 Gratiot Ave,,Roseville,MI,48066,,586-296-1300,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,42.523619,-82.917703,2024-02-12,49847,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False,
ELEC,Tamaroff Nissan,28585 Telegraph Rd,,Southfield,MI,48034,,248-353-1300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,42.498163,-83.286597,2026-01-13,49848,2026-02-02 23:16:24 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Delta Township Administration Building,7710 W Saginaw Hwy,,Lansing,MI,48917,,517-323-8500,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,42.741735,-84.662569,2025-08-12,50171,2026-02-02 23:16:24 UTC,LG,,,2012-12-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,East Lansing - City Hall,410 Abbott Rd,Located in the north lot,East Lansing,MI,48823,,517- 319-6904,E,,Public,24 hours daily; pay lot during city operating hours,,,,,,1.0,,,Non-Networked,,200-9,42.737068,-84.483322,2025-07-03,50835,2026-02-02 23:16:24 UTC,P,,,2013-01-05,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,East Lansing - Library,950 Abbott Rd,,East Lansing,MI,48823,,517-351-2420,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-8,42.743375,-84.483726,2025-07-03,50836,2026-02-02 23:16:24 UTC,P,,,2018-04-22,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Delta Township Library,5130 Davenport Dr,Located in the South Side of the parking lot,Lansing,MI,48917,,517-321-4014,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,42.745881,-84.62145,2025-11-13,50837,2026-02-02 23:16:24 UTC,P,,,2012-09-19,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Suburban Ford - Sterling Heights,40333 Van Dyke Ave,,Sterling Heights,MI,48313,,586-268-7500,E,,Public,Dealership business hours; for customers only,,,,,,4.0,,,Non-Networked,,200-9,42.589877,-83.0319,2025-07-03,52277,2026-02-02 23:16:24 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Pauli Ford,2380 Old U.S. 27,,Saint Johns,MI,48879,,888-357-1009,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY CREDIT D Debit M V,,,,,,4.0,,FORD_CHARGE,https://www.ford.com/support/category/electric-vehicle/charging/public-charging/,GPS,42.981307,-84.543605,2026-08-09,52545,2026-08-09 05:16:57 UTC,,,,2013-04-01,,,,,J1772COMBO,US,,,,Public,,public,,,PUBLIC,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Suburban Ford - Waterford,6975 Highland Rd,Located by the service entrance,Waterford,MI,48327,,248-674-4781,E,,Public,24 hours daily,,,,,,2.0,2.0,,Non-Networked,,200-9,42.657461,-83.424174,2026-07-15,52546,2026-07-15 18:47:09 UTC,P,,,2013-06-01,,,,,J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Nissan Technical Center,39001 Sunrise Dr,Located in front of the Nissan building,Farmington Hills,MI,48331,,248-488-4123,E,,Public,8am-5pm daily,,,,,,14.0,,,Non-Networked,,GPS,42.493902,-83.427189,2022-09-14,53100,2026-06-25 15:31:27 UTC,P,,,2019-11-15,,,,,J1772,US,,,,Public,,public,,,RESEARCH_FACILITY,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Krapohl Ford Lincoln,1415 E Pickard,Located near the body shop,Mt. Pleasant,MI,48858,,989-546-3880,E,,Public - Call ahead,Dealership business hours; for dealership use only,,,,,,1.0,,,Non-Networked,,GPS,43.6122065,-84.7589758,2025-11-13,53869,2026-02-02 23:16:24 UTC,P,,,2013-04-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,PARKING LOT #4 STATION 01,120 Washington St,Located in parking lot near intesection of Washington St and S Courtland St,Hart,MI,49420,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.701965,-86.364653,2026-08-09,58299,2026-08-09 01:06:43 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Lansing Mall,5330 W Saginaw Hwy,"Located in front of the main entrance, near Chipotle",Lansing,MI,48917,,517-327-3706,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,42.742187,-84.627385,2025-08-12,62801,2026-02-02 23:16:24 UTC,P,,,2013-09-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Seymour Ford Lincoln,2601 Seymour Rd,,Jackson,MI,49201,,517-787-9500,E,,Public - Call ahead,"9am-8pm M and W, 9am-6pm T, 9am-6pm Th and F, 10am-4pm Sat; for customer use only",,,,,,2.0,,,Non-Networked,,200-9,42.277271,-84.373149,2025-08-12,63622,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Varsity Ford,3480 Jackson Rd,,Ann Arbor,MI,48103,,,E,,Private,Service center use only,,,,,,1.0,,,Non-Networked,,200-9,42.285984,-83.797918,2025-07-03,63647,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Borgman Ford Mazda,3150 28th St SW,,Grandville,MI,49148,,616-534-7651,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,,,Non-Networked,,200-9,42.912785,-85.742455,2025-01-13,63651,2025-02-12 00:16:32 UTC,P,,,2013-06-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Avis Ford,29200 Telegraph Rd,,Southfield,MI,48034,,248-355-7500,E,,Public,Dealership business hours,,,,,,2.0,,,Non-Networked,,200-9,42.502907,-83.28388,2025-08-12,63714,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Serra Ford Rochester Hills,2890 S Rochester Rd,,Rochester Hills,MI,48307,,,E,,Private,Service center use only,,,,,,2.0,,,Non-Networked,,200-9,42.638074,-83.132983,2023-06-12,63715,2025-12-15 15:07:17 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Suburban Ford - Ferndale,21600 Woodward St,,Ferndale,MI,48220,,,E,,Private,Service center use only,,,,,,1.0,,,Non-Networked,,200-9,42.45145,-83.127736,2025-07-03,63717,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Gorno Bros Ford,22025 Allen Rd,,Woodhaven,MI,48183,,,E,,Private,For service center use only,,,,,,2.0,,,Non-Networked,,GPS,42.14717573777452,-83.22535304893495,2023-06-12,63742,2026-06-25 00:32:52 UTC,P,,,2014-10-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,North Brothers Ford,33300 Ford Rd,,Westland,MI,48185,,,E,,Private,Service center use only,,,,,,2.0,,,Non-Networked,,200-9,42.326409,-83.367414,2025-07-03,63745,2026-02-02 23:16:24 UTC,P,,,2013-01-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Atchinson Ford,9800 Belleville Rd,,Belleville,MI,48111,,,E,,Private,Service center use only,,,,,,2.0,,,Non-Networked,,200-9,42.23113,-83.485851,2023-06-12,63802,2026-06-25 14:34:04 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Briarwood Ford,7070 E Michigan Ave,,Saline,MI,48176,,877-810-1637,E,,Public,Dealership business hours; for customer use only,,,,,,1.0,,,Non-Networked,,200-9,42.185792,-83.740207,2025-07-03,63804,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Bay City - State Recreation Area,3582 State Park Dr,Located in the NW end of the Recreation Area near the Saginaw Bay Visitor Center.,Bay City,MI,48706,,989-684-3020,E,,Public,State park hours,,,,,1.0,,,,Non-Networked,,GPS,43.667638,-83.907611,2025-07-03,63806,2026-02-02 23:16:24 UTC,LG,,,2014-10-14,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Crest Ford,26333 Van Dyke,,Center Line,MI,48331,,,E,,Private,For service center use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1.0,1.0,,,Non-Networked,,200-9,42.487246,-83.028484,2023-07-11,63807,2026-06-25 00:41:40 UTC,P,,,2014-08-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,BRCHARGE BRCHARGE,226 N Michigan Ave,"Located on the west edge of the public parking lot on North Michigan Avenue, 100 yards south of City Hall",Big Rapids,MI,49307,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.699595,-85.481822,2026-08-09,64462,2026-08-09 01:08:28 UTC,,,,2014-12-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Wayne State University - Parking Structure #1,450 W Palmer,Located on the first level in section 2E,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,6.0,,,Non-Networked,,GPS,42.3612218163908,-83.0711717437953,2024-01-09,64728,2026-08-03 20:15:47 UTC,P,,,2014-11-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Wayne State University - Parking Structure #2,5150 Lodge Service Dr,Located in the southwest corner of the structure in sections 1/2 and 3/1,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,6.0,,,Non-Networked,,GPS,42.3565840255467,-83.0733826383948,2024-01-09,64729,2026-08-03 20:15:47 UTC,P,,,2014-11-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Wayne State University - Parking Structure #3,45 E Warren,,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,1.0,,,Non-Networked,,GPS,42.3573546377245,-83.0633437167853,2024-01-09,64730,2026-08-03 20:15:47 UTC,P,,,2014-11-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Wayne State University - Parking Structure #4,555 E Canfield,Three are located on the first ramp (southbound) into the garage from the Canfield entrance and three are located on the level one ramp (northbound).,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,6.0,,,Non-Networked,,GPS,42.3559279,-83.055206,2024-01-09,64731,2026-08-03 20:15:47 UTC,P,,,2014-11-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
